target,group,n,feature,mean_attribution
carb_sensitivity,predicted_low,32195,serum_sodium,0.0482
carb_sensitivity,predicted_low,32195,serum_potassium,0.0467
carb_sensitivity,predicted_low,32195,creatinine,0.0681
carb_sensitivity,predicted_low,32195,egfr,0.1217
carb_sensitivity,predicted_low,32195,hba1c,0.1653
carb_sensitivity,predicted_low,32195,fbs,0.2509
carb_sensitivity,predicted_low,32195,sbp,0.0064
carb_sensitivity,predicted_low,32195,dbp,0.0078
carb_sensitivity,predicted_low,32195,bmi,0.0408
carb_sensitivity,predicted_moderate,7624,age,0.0517
carb_sensitivity,predicted_moderate,7624,sex_male,0.063
carb_sensitivity,predicted_moderate,7624,has_htn,0.0038
carb_sensitivity,predicted_moderate,7624,has_dm,0.1676
carb_sensitivity,predicted_moderate,7624,has_ckd,0.013
carb_sensitivity,predicted_moderate,7624,serum_sodium,0.0305
carb_sensitivity,predicted_moderate,7624,serum_potassium,0.0399
carb_sensitivity,predicted_moderate,7624,creatinine,0.0751
carb_sensitivity,predicted_moderate,7624,egfr,0.0378
carb_sensitivity,predicted_moderate,7624,hba1c,0.2067
carb_sensitivity,predicted_moderate,7624,fbs,0.2397
carb_sensitivity,predicted_moderate,7624,sbp,0.0241
carb_sensitivity,predicted_moderate,7624,dbp,0.0061
carb_sensitivity,predicted_moderate,7624,bmi,0.041
carb_sensitivity,predicted_high,9711,age,0.0311
carb_sensitivity,predicted_high,9711,sex_male,0.0372
carb_sensitivity,predicted_high,9711,has_htn,0.0055
carb_sensitivity,predicted_high,9711,has_dm,0.1735
carb_sensitivity,predicted_high,9711,has_ckd,0.0149
carb_sensitivity,predicted_high,9711,serum_sodium,0.0293
carb_sensitivity,predicted_high,9711,serum_potassium,0.0416
carb_sensitivity,predicted_high,9711,creatinine,0.0684
carb_sensitivity,predicted_high,9711,egfr,0.0693
carb_sensitivity,predicted_high,9711,hba1c,0.2115
carb_sensitivity,predicted_high,9711,fbs,0.2544
carb_sensitivity,predicted_high,9711,sbp,0.0138
carb_sensitivity,predicted_high,9711,dbp,0.008
carb_sensitivity,predicted_high,9711,bmi,0.0415
