repeat,fold,target,arm,n,f1_macro,balanced_accuracy,cohen_kappa,quadratic_kappa,auroc_ovr_macro
0,4,protein_restriction,tabnet,39414,0.3736520781287069,0.4866134328331735,0.13845390078501008,0.05953872825597728,0.680087838870827
0,4,protein_restriction,rules,39414,0.3198750017456357,0.35881920567678266,0.09480171856488939,0.1546221403260858,
0,4,carb_sensitivity,tabnet,39284,0.5003610227054139,0.5346501935812513,0.30464804356570074,0.4361301088855043,0.7744252372846135
0,4,carb_sensitivity,rules,39284,0.3183792134899384,0.425679821766966,0.09040682300566749,0.17321378500030626,
1,0,sodium_sensitivity,tabnet,32055,0.3948824537955787,0.5196303367463287,0.17792523986488096,0.2196368943366065,0.749411218313991
1,0,sodium_sensitivity,rules,32055,0.3690675931185538,0.4558620184846356,0.12185035196621119,0.19394182087091705,
1,0,potassium_sensitivity,tabnet,39282,0.4118013711644177,0.4753879372353646,0.16553806146941552,0.2420845926145635,0.7148885601263291
1,0,potassium_sensitivity,rules,39282,0.3836948566683167,0.4602246530710345,0.12826712385620742,0.21993274192101853,
1,0,protein_restriction,tabnet,39183,0.3726547501254182,0.47924780200973105,0.14053865043883573,0.06741256445672483,0.6771054548383556
1,0,protein_restriction,rules,39183,0.32226416638256955,0.3632232046634429,0.09570632632200704,0.15204765964184974,
1,0,carb_sensitivity,tabnet,39066,0.48451653903904646,0.5275921327177003,0.30105997773573445,0.40765026204811106,0.7753679119679786
1,0,carb_sensitivity,rules,39066,0.3203850689505628,0.42517589742599887,0.0921098749255923,0.17566453970688156,
1,1,sodium_sensitivity,tabnet,32908,0.399418961783839,0.5134395071521256,0.1820092850418641,0.2339445571552523,0.7479722280782418
1,1,sodium_sensitivity,rules,32908,0.3758602678018663,0.45809710335763976,0.11954315853908004,0.19596504447357732,
1,1,potassium_sensitivity,tabnet,39719,0.41255132160246166,0.47547524323918283,0.16873974828958715,0.24941130940791023,0.7158766535248993
1,1,potassium_sensitivity,rules,39719,0.3814298250007526,0.4521992095595139,0.12812080638558565,0.21962284859418135,
1,1,protein_restriction,tabnet,39611,0.3759202491482132,0.4772267875313279,0.13803421569104513,0.05823024494692619,0.6709537166106426
