lr,batch_size,virtual_batch_size,class_balance,target,n,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,cohen_kappa,quadratic_kappa,auroc_ovr_macro,log_loss,n_train_real,n_train_synthetic,n_val,best_epoch,best_val_balanced_accuracy,fit_seconds
0.02,16384,1024,False,potassium_sensitivity,39098,0.8505805923576654,0.3333333333333333,0.2835268641192218,0.3333333333333333,0.30641936405266695,0.7819030925573297,0.0,0.0,0.5799897980841809,0.5509667359152748,158576,0,39098,0,0.3333333333333333,27.0
0.02,16384,1024,False,protein_restriction,39018,0.812829975908555,0.33452577726958904,0.3647025036031593,0.33452577726958904,0.30313941951289425,0.7320361909168372,0.004820397448705438,0.0030906910235667384,0.5960470318538542,0.6741432126307428,158120,0,39018,0,0.33452577726958904,26.8
0.02,16384,1024,False,carb_sensitivity,38877,0.7184967975924068,0.37985911420966945,0.43717412586606946,0.37985911420966945,0.3744724781611191,0.6663767753435523,0.11549899010692843,0.14865484463098366,0.6221092844110115,0.8128661069319094,157677,0,38877,0,0.37985911420966945,26.8
0.02,16384,1024,True,sodium_sensitivity,32322,0.5395396324484871,0.5047900474415631,0.4177591088597441,0.5047900474415631,0.3879869726179284,0.6110496980064163,0.17087912668622873,0.20139170826409913,0.7232152407130054,0.9672606459880279,129540,0,32322,48,0.5047900474415631,108.7
0.02,16384,1024,True,potassium_sensitivity,39098,0.3876157348201954,0.3899359291305891,0.37380148653483974,0.3899359291305891,0.26580018768515407,0.48903431855105767,0.0485823629087363,0.04917148936222293,0.6314723334222045,1.1319314136724417,158576,0,39098,1,0.3899359291305891,29.1
0.02,16384,1024,True,protein_restriction,39018,0.5852427084935158,0.46475791442537395,0.41286219858476464,0.46475791442537395,0.3977690951311675,0.6488324979667985,0.16373225331690322,0.08927438605506732,0.6519939731237248,0.9945603931442605,158120,0,39018,69,0.46475791442537395,185.8
0.02,16384,1024,True,carb_sensitivity,38877,0.6640172852843583,0.5356164768508842,0.4933110161321141,0.5356164768508842,0.503395243780685,0.6935954246107663,0.30452376464051667,0.4392334696897757,0.7626580633337614,0.9244650894307086,157677,0,38877,42,0.5356164768508842,124.6
0.02,32768,2048,False,sodium_sensitivity,32322,0.7579048326217437,0.3601411420452094,0.3853850138363577,0.3601411420452094,0.34915216642045516,0.6982566062746366,0.044625371902337396,0.08184085622246773,0.5713030829813935,0.7946102722007136,129540,0,32322,0,0.3601411420452094,14.9
0.02,32768,2048,False,potassium_sensitivity,39098,0.8501457875083125,0.334858566983479,0.38471494343900187,0.334858566983479,0.31008869327861016,0.7827721055227755,0.005902023239364507,0.004256006346990637,0.5950830179109362,0.6775858800255837,158576,0,39098,2,0.334858566983479,22.3
0.02,32768,2048,False,protein_restriction,39018,0.7996821979599159,0.3524729103405737,0.3782274716823338,0.3524729103405737,0.3434775121129466,0.7443518645352852,0.06889046986186209,0.05060492340927869,0.6065555875678809,0.5723537298267646,158120,0,39018,1,0.3524729103405737,20.7
0.02,32768,2048,False,carb_sensitivity,38877,0.7231010623247679,0.41851552768260486,0.4527250294032212,0.41851552768260486,0.42720020725198826,0.694029453770007,0.20797069461192697,0.26212849800690297,0.6763773579739324,0.8169163486667105,157677,0,38877,2,0.41851552768260486,22.2
0.02,32768,2048,True,sodium_sensitivity,32322,0.38642410741909533,0.44145276588606897,0.37798665265611603,0.44145276588606897,0.2803700287485986,0.48761656646781554,0.07678109507337094,0.11102577364006716,0.6689168808515394,1.0974636178269728,129540,0,32322,3,0.44145276588606897,19.4
0.02,32768,2048,True,potassium_sensitivity,39098,0.3061793442119802,0.38067272129238033,0.36259675096655336,0.38067272129238033,0.21837622000104348,0.39713160653031493,0.03326035235688407,0.03613585945539122,0.563564558522414,1.1906279897717411,158576,0,39098,1,0.38067272129238033,22.0
0.02,32768,2048,True,protein_restriction,39018,0.17112614690655595,0.40779546582018994,0.39223853226334254,0.40779546582018994,0.19452847770781204,0.19185000170335165,0.0426795233049031,-0.01799306651320065,0.6075286438004733,1.1744103630255787,158120,0,39018,17,0.40779546582018994,47.4
0.02,32768,2048,True,carb_sensitivity,38877,0.4178048717750855,0.4203645236069635,0.3926793666063733,0.4203645236069635,0.32628590251797,0.4783085569356022,0.09853779762855952,0.12170562168404364,0.5961066023515561,1.1391047442692908,157677,0,38877,0,0.4203645236069635,19.6
